01:34:35,475693 len:86, 64.8.12.3:24651 -> 64.8.12.3:35950, flags:[PSH]
01:34:35,493723 len:54, 192.168.43.36:9274 -> 192.168.43.36:443, flags:[ACK]
01:34:35,498665 len:54, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,498889 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,499326 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,499330 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,499425 len:54, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[ACK]
01:34:35,499568 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,499626 len:54, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[ACK]
01:34:35,499734 len:188, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[PSH,ACK]
01:34:35,505282 len:54, 13.65.97.194:80 -> 13.65.97.194:9256, flags:[ACK]
01:34:35,506703 len:180, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,516247 len:74, 64.8.12.3:24655 -> 64.8.12.3:25137, flags:[PSH]
01:34:35,549577 len:54, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,549743 len:312, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[PSH,ACK]
01:34:35,550534 len:373, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,584834 len:54, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,585054 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,585315 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,585406 len:54, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[ACK]
01:34:35,585596 len:821, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[PSH,ACK]
01:34:35,595839 len:373, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,652760 len:54, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,661985 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,662218 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,662306 len:54, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[ACK]
01:34:35,662450 len:1124, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[PSH,ACK]
01:34:35,673843 len:373, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,730559 len:54, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,730838 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,731099 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,731152 len:54, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[ACK]
01:34:35,731287 len:235, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[PSH,ACK]
01:34:35,737709 len:373, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,790080 len:54, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,790082 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,790331 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,790387 len:54, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[ACK]
01:34:35,790559 len:1108, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[PSH,ACK]
01:34:35,796935 len:373, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,832787 len:61, 192.168.43.36:9242 -> 192.168.43.36:80, flags:[PSH,ACK]
01:34:35,884163 len:54, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,884454 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,885682 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,885736 len:54, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[ACK]
01:34:35,887051 len:970, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[PSH,ACK]
01:34:35,927468 len:54, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[ACK]
01:34:36,408624 len:61, 13.84.218.77:80 -> 13.84.218.77:9244, flags:[PSH,ACK]
01:34:36,408626 len:54, 13.84.218.77:80 -> 13.84.218.77:9242, flags:[ACK]
01:34:36,450613 len:54, 192.168.43.36:9244 -> 192.168.43.36:80, flags:[ACK]
01:34:40,194199 len:61, 192.168.43.36:9256 -> 192.168.43.36:80, flags:[PSH,ACK]
01:34:40,693755 len:66, 192.168.43.36:9273 -> 192.168.43.36:1688, flags:[SYN]
01:34:40,695346 len:54, 13.65.97.194:80 -> 13.65.97.194:9256, flags:[ACK]
01:34:40,718022 len:42, 7.98.192.168:1 -> 7.98.192.168:2048, flags:[SYN,URG]
01:34:40,718050 len:42, 135.71.192.168:1 -> 135.71.192.168:2048, flags:[FIN,SYN,RST]
01:34:40,833599 len:61, 192.168.43.36:9242 -> 192.168.43.36:80, flags:[PSH,ACK]
01:34:41,323436 len:54, 13.84.218.77:80 -> 13.84.218.77:9242, flags:[ACK]
09:26:36,182926 len:86, 26.64.218.88:24582 -> 26.64.218.88:21348, flags:[]
09:26:36,455168 len:86, 26.64.218.88:24583 -> 26.64.218.88:63306, flags:[]
09:26:36,493060 len:86, 26.64.218.88:24585 -> 26.64.218.88:4568, flags:[]
09:26:36,555948 len:66, 192.168.43.36:10863 -> 192.168.43.36:443, flags:[SYN]
09:26:36,572110 len:100, 42.121.252.58:443 -> 42.121.252.58:10458, flags:[PSH,ACK]
09:26:36,572313 len:54, 192.168.43.36:10458 -> 192.168.43.36:443, flags:[FIN,ACK]
09:26:36,577783 len:85, 42.121.252.58:443 -> 42.121.252.58:10458, flags:[PSH,ACK]
09:26:36,577826 len:54, 192.168.43.36:10458 -> 192.168.43.36:443, flags:[RST,ACK]
09:26:36,577893 len:54, 42.121.252.58:443 -> 42.121.252.58:10458, flags:[FIN,ACK]
09:26:36,623519 len:54, 42.121.252.58:443 -> 42.121.252.58:10458, flags:[ACK]
09:26:36,821211 len:55, 192.168.43.36:10460 -> 192.168.43.36:443, flags:[ACK]
09:26:36,822191 len:66, 192.168.43.36:10865 -> 192.168.43.36:443, flags:[SYN]
09:26:36,822269 len:66, 192.168.43.36:10866 -> 192.168.43.36:443, flags:[SYN]
09:26:36,882102 len:122, 26.64.218.88:24585 -> 26.64.218.88:14285, flags:[]
09:26:36,947542 len:66, 203.208.40.79:443 -> 203.208.40.79:10460, flags:[ACK]
09:26:36,955826 len:86, 26.64.218.88:24584 -> 26.64.218.88:46582, flags:[]
09:26:37,255054 len:66, 192.168.43.36:10868 -> 192.168.43.36:443, flags:[SYN]
09:26:37,615978 len:100, 118.178.109.187:443 -> 118.178.109.187:10466, flags:[PSH,ACK]
09:26:37,616194 len:54, 192.168.43.36:10466 -> 192.168.43.36:443, flags:[FIN,ACK]
